SourceFile,Accelerometer,GPSDateTime,GPSLatitude,GPSLongitude,GPSSpeed
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.18 1.24 1.14,2026:05:20 13:56:13Z,2 deg 56' 54.08 N,101 deg 45' 47.51 E,50
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.16 1.2 1.21,2026:05:20 13:56:14Z,2 deg 56' 54.49 N,101 deg 45' 47.34 E,50
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.06 1.1 1.18,2026:05:20 13:56:15Z,2 deg 56' 54.91 N,101 deg 45' 47.11 E,51
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.12 1.33 1.36,2026:05:20 13:56:16Z,2 deg 56' 55.34 N,101 deg 45' 46.93 E,51
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.02 1.01 1.25,2026:05:20 13:56:17Z,2 deg 56' 55.77 N,101 deg 45' 46.75 E,51
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.08 1.21 1.22,2026:05:20 13:56:18Z,2 deg 56' 56.19 N,101 deg 45' 46.58 E,51
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,-0.06 1.1 1.22,2026:05:20 13:56:19Z,2 deg 56' 56.62 N,101 deg 45' 46.34 E,51
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.02 1 1.22,2026:05:20 13:56:20Z,2 deg 56' 57.07 N,101 deg 45' 46.17 E,51
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.19 1.25 1.25,2026:05:20 13:56:21Z,2 deg 56' 57.53 N,101 deg 45' 45.94 E,55
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.13 1.1 1.3,2026:05:20 13:56:22Z,2 deg 56' 57.99 N,101 deg 45' 45.76 E,55
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.02 1.14 1.23,2026:05:20 13:56:23Z,2 deg 56' 58.46 N,101 deg 45' 45.52 E,56
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0 1.07 1.21,2026:05:20 13:56:24Z,2 deg 56' 58.94 N,101 deg 45' 45.35 E,57
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.09 1.24 1.13,2026:05:20 13:56:25Z,2 deg 56' 59.42 N,101 deg 45' 45.11 E,58
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.08 1.13 1.19,2026:05:20 13:56:26Z,2 deg 56' 59.92 N,101 deg 45' 44.88 E,59
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.13 1.2 1.14,2026:05:20 13:56:27Z,2 deg 57' 0.41 N,101 deg 45' 44.70 E,59
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.08 1.1 1.14,2026:05:20 13:56:28Z,2 deg 57' 0.90 N,101 deg 45' 44.47 E,59
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.08 1.07 1.08,2026:05:20 13:56:29Z,2 deg 57' 1.37 N,101 deg 45' 44.23 E,57
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,-0.02 1.14 1.16,2026:05:20 13:56:30Z,2 deg 57' 1.84 N,101 deg 45' 44.00 E,58
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.23 1.16 1.17,2026:05:20 13:56:31Z,2 deg 57' 2.27 N,101 deg 45' 43.76 E,54
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,-0.06 1.07 1.25,2026:05:20 13:56:32Z,2 deg 57' 2.73 N,101 deg 45' 43.59 E,55
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.3 1.03 1.21,2026:05:20 13:56:33Z,2 deg 57' 3.19 N,101 deg 45' 43.36 E,55
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.09 1.24 1.2,2026:05:20 13:56:34Z,2 deg 57' 3.64 N,101 deg 45' 43.18 E,55
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.07 1.08 1.2,2026:05:20 13:56:35Z,2 deg 57' 4.10 N,101 deg 45' 42.95 E,55
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.1 1.07 1.08,2026:05:20 13:56:36Z,2 deg 57' 4.58 N,101 deg 45' 42.77 E,54
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.04 1.17 1.19,2026:05:20 13:56:37Z,2 deg 57' 5.07 N,101 deg 45' 42.59 E,55
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.04 1.14 1.24,2026:05:20 13:56:38Z,2 deg 57' 5.57 N,101 deg 45' 42.36 E,60
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.1 1.17 1.26,2026:05:20 13:56:39Z,2 deg 57' 6.10 N,101 deg 45' 42.13 E,63
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.05 0.98 1.23,2026:05:20 13:56:40Z,2 deg 57' 6.64 N,101 deg 45' 41.89 E,65
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.1 1.08 1.21,2026:05:20 13:56:41Z,2 deg 57' 7.19 N,101 deg 45' 41.66 E,68
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,-0.06 1.1 1.12,2026:05:20 13:56:42Z,2 deg 57' 7.78 N,101 deg 45' 41.36 E,71
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.05 1.06 1.2,2026:05:20 13:56:43Z,2 deg 57' 8.36 N,101 deg 45' 41.07 E,73
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.07 0.94 1.28,2026:05:20 13:56:44Z,2 deg 57' 8.96 N,101 deg 45' 40.78 E,75
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.05 1.23 1.1,2026:05:20 13:56:45Z,2 deg 57' 9.58 N,101 deg 45' 40.43 E,77
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.05 1.04 1.18,2026:05:20 13:56:46Z,2 deg 57' 10.19 N,101 deg 45' 40.07 E,80
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.18 1.19 1.14,2026:05:20 13:56:47Z,2 deg 57' 10.81 N,101 deg 45' 39.73 E,79
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.14 1.26 1.01,2026:05:20 13:56:48Z,2 deg 57' 11.44 N,101 deg 45' 39.31 E,81
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,-0.09 1.11 1.16,2026:05:20 13:56:49Z,2 deg 57' 12.09 N,101 deg 45' 38.90 E,83
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.12 1.06 1.11,2026:05:20 13:56:50Z,2 deg 57' 12.74 N,101 deg 45' 38.55 E,81
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.08 1.16 1.09,2026:05:20 13:56:51Z,2 deg 57' 13.37 N,101 deg 45' 38.14 E,82
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.14 1.22 1.13,2026:05:20 13:56:52Z,2 deg 57' 13.99 N,101 deg 45' 37.79 E,79
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.11 1.14 1.13,2026:05:20 13:56:53Z,2 deg 57' 14.60 N,101 deg 45' 37.38 E,79
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.08 1.21 1.13,2026:05:20 13:56:54Z,2 deg 57' 15.21 N,101 deg 45' 37.03 E,79
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.1 1.15 1.17,2026:05:20 13:56:55Z,2 deg 57' 15.83 N,101 deg 45' 36.62 E,79
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.12 1.09 1.11,2026:05:20 13:56:56Z,2 deg 57' 16.45 N,101 deg 45' 36.26 E,80
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.05 1.13 1.09,2026:05:20 13:56:57Z,2 deg 57' 17.08 N,101 deg 45' 35.86 E,80
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.14 1.18 1.06,2026:05:20 13:56:58Z,2 deg 57' 17.71 N,101 deg 45' 35.50 E,79
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.12 1.03 1.03,2026:05:20 13:56:59Z,2 deg 57' 18.31 N,101 deg 45' 35.15 E,80
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.1 1.15 1,2026:05:20 13:57:00Z,2 deg 57' 18.94 N,101 deg 45' 34.74 E,80
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.13 1.2 1,2026:05:20 13:57:01Z,2 deg 57' 19.53 N,101 deg 45' 34.39 E,79
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.08 1.1 0.97,2026:05:20 13:57:02Z,2 deg 57' 20.11 N,101 deg 45' 34.10 E,70
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,-0.03 1.16 0.93,2026:05:20 13:57:03Z,2 deg 57' 20.64 N,101 deg 45' 33.80 E,66
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.05 1.18 1.01,2026:05:20 13:57:04Z,2 deg 57' 21.14 N,101 deg 45' 33.51 E,61
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.11 1.16 0.82,2026:05:20 13:57:05Z,2 deg 57' 21.59 N,101 deg 45' 33.28 E,55
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,-0.01 1 1,2026:05:20 13:57:06Z,2 deg 57' 22.00 N,101 deg 45' 33.04 E,50
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.07 1.04 0.87,2026:05:20 13:57:07Z,2 deg 57' 22.36 N,101 deg 45' 32.81 E,44
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.11 1.19 0.91,2026:05:20 13:57:08Z,2 deg 57' 22.68 N,101 deg 45' 32.63 E,39
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.06 1.19 0.92,2026:05:20 13:57:09Z,2 deg 57' 22.95 N,101 deg 45' 32.45 E,32
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.11 1.15 0.91,2026:05:20 13:57:10Z,2 deg 57' 23.15 N,101 deg 45' 32.34 E,25
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.08 1.14 1.07,2026:05:20 13:57:11Z,2 deg 57' 23.32 N,101 deg 45' 32.22 E,19
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.08 1.14 1.12,2026:05:20 13:57:12Z,2 deg 57' 23.38 N,101 deg 45' 32.22 E,9
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.09 1.12 1.11,2026:05:20 13:57:13Z,2 deg 57' 23.42 N,101 deg 45' 32.17 E,5
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.06 1.13 1.11,2026:05:20 13:57:14Z,2 deg 57' 23.43 N,101 deg 45' 32.17 E,3
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.07 1.14 1.14,2026:05:20 13:57:15Z,2 deg 57' 23.43 N,101 deg 45' 32.17 E,1
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.07 1.13 1.15,2026:05:20 13:57:16Z,2 deg 57' 23.42 N,101 deg 45' 32.17 E,1
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.06 1.14 1.15,2026:05:20 13:57:17Z,2 deg 57' 23.41 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.08 1.13 1.16,2026:05:20 13:57:18Z,2 deg 57' 23.41 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.07 1.13 1.15,2026:05:20 13:57:19Z,2 deg 57' 23.41 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.06 1.14 1.15,2026:05:20 13:57:20Z,2 deg 57' 23.41 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.07 1.14 1.14,2026:05:20 13:57:21Z,2 deg 57' 23.41 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.07 1.13 1.16,2026:05:20 13:57:22Z,2 deg 57' 23.41 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.06 1.13 1.15,2026:05:20 13:57:23Z,2 deg 57' 23.41 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.07 1.13 1.16,2026:05:20 13:57:24Z,2 deg 57' 23.40 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.07 1.14 1.14,2026:05:20 13:57:25Z,2 deg 57' 23.40 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.07 1.12 1.15,2026:05:20 13:57:26Z,2 deg 57' 23.40 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.07 1.14 1.15,2026:05:20 13:57:27Z,2 deg 57' 23.41 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.06 1.14 1.16,2026:05:20 13:57:28Z,2 deg 57' 23.41 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.07 1.13 1.14,2026:05:20 13:57:29Z,2 deg 57' 23.40 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.06 1.14 1.16,2026:05:20 13:57:29Z,2 deg 57' 23.40 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.06 1.14 1.14,2026:05:20 13:57:30Z,2 deg 57' 23.40 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.07 1.15 1.14,2026:05:20 13:57:31Z,2 deg 57' 23.40 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.07 1.15 1.14,2026:05:20 13:57:32Z,2 deg 57' 23.40 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.07 1.15 1.13,2026:05:20 13:57:33Z,2 deg 57' 23.39 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.07 1.15 1.16,2026:05:20 13:57:34Z,2 deg 57' 23.39 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.08 1.14 1.16,2026:05:20 13:57:35Z,2 deg 57' 23.39 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.07 1.13 1.15,2026:05:20 13:57:36Z,2 deg 57' 23.38 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.08 1.14 1.15,2026:05:20 13:57:37Z,2 deg 57' 23.38 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.06 1.14 1.14,2026:05:20 13:57:38Z,2 deg 57' 23.38 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.08 1.14 1.16,2026:05:20 13:57:39Z,2 deg 57' 23.38 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.05 1.15 1.15,2026:05:20 13:57:40Z,2 deg 57' 23.38 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.06 1.12 1.15,2026:05:20 13:57:41Z,2 deg 57' 23.38 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.07 1.12 1.16,2026:05:20 13:57:42Z,2 deg 57' 23.38 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.08 1.14 1.15,2026:05:20 13:57:43Z,2 deg 57' 23.38 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.08 1.14 1.15,2026:05:20 13:57:44Z,2 deg 57' 23.38 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.06 1.16 1.17,2026:05:20 13:57:45Z,2 deg 57' 23.38 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.07 1.14 1.19,2026:05:20 13:57:46Z,2 deg 57' 23.38 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.04 1.14 1.26,2026:05:20 13:57:47Z,2 deg 57' 23.38 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.09 1.13 1.29,2026:05:20 13:57:48Z,2 deg 57' 23.38 N,101 deg 45' 32.17 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.07 1.15 1.32,2026:05:20 13:57:49Z,2 deg 57' 23.40 N,101 deg 45' 32.17 E,3
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.01 1.23 1.1,2026:05:20 13:57:50Z,2 deg 57' 23.41 N,101 deg 45' 32.17 E,6
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.25 1.14 1.17,2026:05:20 13:57:51Z,2 deg 57' 23.49 N,101 deg 45' 32.11 E,13
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.32 1.14 1.08,2026:05:20 13:57:52Z,2 deg 57' 23.63 N,101 deg 45' 31.99 E,17
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.28 1.12 1.07,2026:05:20 13:57:53Z,2 deg 57' 23.80 N,101 deg 45' 31.93 E,20
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.29 1.03 1.19,2026:05:20 13:57:54Z,2 deg 57' 23.99 N,101 deg 45' 31.93 E,22
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.3 1.15 1.2,2026:05:20 13:57:55Z,2 deg 57' 24.21 N,101 deg 45' 31.93 E,23
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.1 1.16 1.19,2026:05:20 13:57:56Z,2 deg 57' 24.38 N,101 deg 45' 32.05 E,21
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.1 1.17 1.33,2026:05:20 13:57:57Z,2 deg 57' 24.53 N,101 deg 45' 32.11 E,21
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/GS63H/2026_0520_135614_006.MP4,0.12 1.07 1.3,2026:05:20 13:57:58Z,2 deg 57' 24.67 N,101 deg 45' 32.28 E,24
