SourceFile,Accelerometer,GPSDateTime,GPSLatitude,GPSLongitude,GPSSpeed
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/M550/20260521210037_2026081A.MP4,0 0 -0.01,2026:05:21 21:00:36Z,2 deg 56' 47.55 N,101 deg 40' 8.49 E,1
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/M550/20260521210037_2026081A.MP4,0 -0.01 0,2026:05:21 21:00:37Z,2 deg 56' 47.53 N,101 deg 40' 8.49 E,1
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/M550/20260521210037_2026081A.MP4,0 0 0.01,2026:05:21 21:00:38Z,2 deg 56' 47.53 N,101 deg 40' 8.49 E,1
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/M550/20260521210037_2026081A.MP4,0 0 0,2026:05:21 21:00:39Z,2 deg 56' 47.51 N,101 deg 40' 8.49 E,1
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/M550/20260521210037_2026081A.MP4,0 0 -0.01,2026:05:21 21:00:40Z,2 deg 56' 47.49 N,101 deg 40' 8.49 E,1
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/M550/20260521210037_2026081A.MP4,0 0 0.01,2026:05:21 21:00:41Z,2 deg 56' 47.47 N,101 deg 40' 8.49 E,1
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/M550/20260521210037_2026081A.MP4,0 0 0,2026:05:21 21:00:42Z,2 deg 56' 47.46 N,101 deg 40' 8.49 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/M550/20260521210037_2026081A.MP4,0 0 0.01,2026:05:21 21:00:43Z,2 deg 56' 47.44 N,101 deg 40' 8.49 E,0
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/M550/20260521210037_2026081A.MP4,0.01 0 0.01,2026:05:21 21:00:44Z,2 deg 56' 47.42 N,101 deg 40' 8.49 E,1
C:/Users/REKALAB-GPU4/Documents/ALICE DSP/new updated dataset/M550/20260521210037_2026081A.MP4,0 0 -0.01,2026:05:21 21:00:45Z,2 deg 56' 47.42 N,101 deg 40' 8.49 E,0
